# BEAST v1.8.4
# Generated Sun Jan 13 09:41:33 OMST 2019 [seed=1547350892005]
# nac1_sfragm_default.xml
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
38000	-240.3163263140462	-0.5991601749411313	-239.71716613910507	0.2786626895379782	0.24252732068618835	2.2428084233548886	0.20833467113042303	0.3076995906054534	0.14592954002230957	0.33803619824181397	1.0	1.0	-239.71716613910507	0.0	-0.054160338209779724
39000	-242.62818469235415	-2.0738019365126275	-240.55438275584152	0.28609867747977774	0.628828413147722	3.8124085749437318	0.2086613671488986	0.27299995830017576	0.18030247630911161	0.33803619824181397	1.0	1.0	-240.55438275584152	0.0	-0.020740947035939872
40000	-247.99726962315657	-5.639508706918523	-242.35776091623805	0.2672635305101288	1.6110249258617155	3.8124085749437318	0.13430306039501919	0.27299995830017576	0.22838687292842272	0.3643101083763823	1.0	1.0	-242.35776091623805	0.0	-2.645680288490744
41000	-245.03428756536903	1.4818630738275784	-246.5161506391966	0.20815308031213717	0.26386665406407434	1.7189693413574387	0.2633391891220225	0.19945935260279923	0.26673480157971297	0.2704666566954652	1.0	1.0	-246.5161506391966	0.0	1.900563791889353
42000	-241.71961114341843	-0.21580354042925864	-241.50380760298918	0.1886956283411962	0.3474069614843033	4.4752744735851815	0.20666582323871374	0.19945935260279923	0.26673480157971297	0.32714002257877395	1.0	1.0	-241.50380760298918	0.0	1.4471301578546645
43000	-238.79780795679739	0.4668260388198868	-239.26463399561726	0.20829238824474347	0.20794589631486401	3.3680259942055453	0.18683129013356242	0.3164414870499695	0.14304935497226123	0.3536778678442067	1.0	1.0	-239.26463399561726	0.0	1.2674571053675445
44000	-245.72940834424693	-1.1061284437099228	-244.623279900537	0.26228113177950985	0.5854129818090303	1.886921132259618	0.2055643655944673	0.19064377790136067	0.25011398865996515	0.3536778678442067	1.0	1.0	-244.623279900537	0.0	0.1781068874866077
45000	-239.89753004314795	0.050813859188541644	-239.9483439023365	0.18004281862115595	0.33795215682792556	3.4882411474779027	0.18247680758935308	0.31044282344351004	0.25011398865996515	0.25696638030717156	1.0	1.0	-239.9483439023365	0.0	1.3773463808222774
46000	-243.9361648498	-1.1244377823530507	-242.81172706744695	0.17794127444556213	0.6429532458599186	2.7249640631720506	0.25812005810335525	0.22424327326301255	0.18867018154257323	0.3289664870910588	1.0	1.0	-242.81172706744695	0.0	0.5784182015005169
47000	-242.9318160547204	-0.2848542144589896	-242.6469618402614	0.2299463080246159	0.34030472281008234	4.593431548779307	0.28723744978494326	0.19065806360191062	0.1824783229571735	0.3396261636559724	1.0	1.0	-242.6469618402614	0.0	1.3920162467350234
48000	-245.76638840902638	-7.062382526002516	-238.70400588302385	0.25544548331874384	2.181760250329533	3.68635921862746	0.21299148194116474	0.26490403144568914	0.1824783229571735	0.3396261636559724	1.0	1.0	-238.70400588302385	0.0	-3.8058314920370786
49000	-244.33140221274547	-5.423789745987706	-238.90761246675777	0.26002573934222056	1.5617840556717997	3.4968853701164493	0.21299148194116474	0.31708096763786836	0.1824783229571735	0.2874492274637932	1.0	1.0	-238.90761246675777	0.0	-2.563705439462477
50000	-242.76398235743414	0.4516088792571187	-243.21559123669127	0.26773634488455494	0.16096562710432097	2.3630589054761932	0.18556465419810209	0.23776945635790953	0.24100439574974553	0.3356614936942427	1.0	1.0	-243.21559123669127	0.0	0.6333593169018394
51000	-242.12228803505613	0.7420622774563179	-242.86435031251244	0.24610393671789477	0.2800122295247969	3.4349498358453623	0.18556465419810209	0.3802675517663765	0.14625088964761246	0.28791690438790873	1.0	1.0	-242.86435031251244	0.0	1.8627469515260884
52000	-248.9260228255803	-6.7458976202016085	-242.1801252053787	0.304374368620641	1.905242444434126	4.100452900203187	0.18492392048128586	0.33365679215256544	0.21503960821512014	0.26637967915102834	1.0	1.0	-242.1801252053787	0.0	-3.494028485401213
53000	-240.04348492953642	-0.2643672080320185	-239.7791177215044	0.19475417274747664	0.44961555202533	2.339990112736247	0.2174913709518264	0.36358018391932534	0.13469300643188178	0.2842354386969662	1.0	1.0	-239.7791177215044	0.0	0.9356851136236946
54000	-239.99408178225136	-1.6447218534605015	-238.34935992879085	0.2173542900094643	0.606984843454813	2.5624339607815907	0.21376891604417073	0.3186832208228734	0.18331242443598939	0.2842354386969662	1.0	1.0	-238.34935992879085	0.0	-0.05981813141282116
55000	-241.24476715062875	-2.703143587609703	-238.54162356301904	0.22677524613540068	0.7110061096065362	4.174987522877443	0.21376891604417073	0.3330588257574386	0.16893681950142417	0.2842354386969662	1.0	1.0	-238.54162356301904	0.0	-0.4141006879118015
56000	-242.63271551096386	0.4371585132402813	-243.06987402420415	0.1717004862324054	0.1895896698452059	3.38766602417153	0.21376891604417073	0.42547298259238897	0.16893681950142417	0.19182128186201589	1.0	1.0	-243.06987402420415	0.0	1.1519965057577495
57000	-246.5778869135349	-2.3243392659080877	-244.25354764762682	0.20709921685705168	0.6574062054467936	3.813640780864131	0.17917694329110329	0.3708740540752391	0.1806593492397276	0.26928965339392974	1.0	1.0	-244.25354764762682	0.0	-0.22644145241195618
58000	-238.6284734147184	-0.46663009242039977	-238.161843322298	0.198085007762041	0.2692009811958903	3.823785621667213	0.18709326731447418	0.26918713757277973	0.18686235303709214	0.3568572420756536	1.0	1.0	-238.161843322298	0.0	0.7416584077258445
59000	-238.68771952873777	0.5291284174519348	-239.21684794618972	0.15687874293026555	0.26678645349548097	3.191145887466508	0.19371159354174525	0.22229253372143945	0.22713863066116136	0.3568572420756536	1.0	1.0	-239.21684794618972	0.0	1.5185147912492112
60000	-239.8928174235696	0.5978195893475249	-240.49063701291712	0.17259364388535492	0.20146489122866998	3.191145887466508	0.2037446875192413	0.2576461998228627	0.16371403175821897	0.3748950808996767	1.0	1.0	-240.49063701291712	0.0	1.3063725535244535
61000	-241.35383832095295	1.0737578192188928	-242.42759614017183	0.20295282444217083	0.3045159221182203	1.8606943003790002	0.1569062977824398	0.3044845895596642	0.20784411751581403	0.33076499514208163	1.0	1.0	-242.42759614017183	0.0	1.6937350198722338
62000	-240.10352417078286	-0.42866587364196185	-239.6748582971409	0.2385702920951688	0.21955258354410517	3.6988110497769466	0.18939204298910914	0.3044845895596642	0.20784411751581403	0.2982792499354122	1.0	1.0	-239.6748582971409	0.0	0.5356228595428086
63000	-238.51088156735156	-0.5019862156475292	-238.00889535170404	0.18977457478711907	0.14857320614427055	3.7902661278734087	0.22754356049162197	0.2630916683346659	0.19557762725119876	0.31378714392251295	1.0	1.0	-238.00889535170404	0.0	0.10121906451875406
64000	-239.52718944769958	0.022680577388657364	-239.54987002508824	0.19322315743132204	0.3676663511736805	2.797011932296958	0.23582733563224728	0.34215653474733576	0.18729385211057348	0.2347222775098431	1.0	1.0	-239.54987002508824	0.0	1.1929957992350888
65000	-240.7449190972371	-1.4927350868489673	-239.25218401038813	0.19100508150307915	0.47013950586808195	3.583327006292654	0.19916687792065424	0.34215653474733576	0.22395430982216652	0.2347222775098431	1.0	1.0	-239.25218401038813	0.0	0.1953407637184309
66000	-237.72166804312678	0.4217387881217014	-238.14340683124848	0.17786083095466002	0.32077156186392297	2.379882194571606	0.19916687792065424	0.3448935787471626	0.16988622266983458	0.2860533206623481	1.0	1.0	-238.14340683124848	0.0	1.2995019472452924
67000	-239.34424736348407	0.023198715921640023	-239.3674460794057	0.15415995503179772	0.3874507713765986	3.4982303100642316	0.2731160506019966	0.2709444060658202	0.16988622266983458	0.2860533206623481	1.0	1.0	-239.3674460794057	0.0	1.489734320294776
68000	-241.48305768379916	-1.358450404813452	-240.1246072789857	0.27634950634800537	0.14466477182862977	2.134939288533104	0.17790937414569227	0.3061858816098647	0.16988622266983458	0.34601852157460794	1.0	1.0	-240.1246072789857	0.0	-1.3725935704115653
69000	-241.74783651956378	-2.1031670682428194	-239.64466945132096	0.26976803292924767	0.7231324883085828	2.5290167918096182	0.24340928297161002	0.3061858816098647	0.17663043854461336	0.2737743968739114	1.0	1.0	-239.64466945132096	0.0	-0.3557505071652919
70000	-241.03927781309832	-1.3722770278115934	-239.66700078528672	0.26557299383346583	0.4154121333628145	3.905633486088158	0.24430211936105956	0.24527954775788674	0.23753677239659132	0.2728815604844619	1.0	1.0	-239.66700078528672	0.0	0.29577233286017934
71000	-242.84697793945375	-2.470444819103575	-240.3765331203502	0.18192756044723915	0.7711179189838571	3.4281636945399336	0.2541692403173779	0.35446472521427813	0.18263885891916565	0.2087271755491778	1.0	1.0	-240.3765331203502	0.0	-0.3390246016502445
72000	-240.8283813779349	-0.16460758595255776	-240.66377379198235	0.2360410304149958	0.23943613051470367	4.60865152710866	0.17299522587372612	0.2966569779712848	0.19214558090432407	0.33820221525066446	1.0	1.0	-240.66377379198235	0.0	1.1651302454749202
73000	-247.72280020001804	-1.2686404662746043	-246.45415973374344	0.24763621507124994	0.2553026740343357	6.53600723334376	0.15736055023496387	0.3314864635260162	0.19214558090432407	0.3190074053346953	1.0	1.0	-246.45415973374344	0.0	0.6317671537506575
74000	-239.9776887879895	-1.0868759535126014	-238.89081283447692	0.18483869968893132	0.5244834376706822	2.38727146537702	0.20804135686277003	0.3314864635260162	0.19214558090432407	0.26832659870688913	1.0	1.0	-238.89081283447692	0.0	0.2854112079656627
75000	-241.34641351728695	-0.38320460279679036	-240.96320891449017	0.20576001353133083	0.24309122977328473	3.985717205212135	0.2902392880608922	0.2903330769794146	0.19066487893425685	0.2287627560254358	1.0	1.0	-240.96320891449017	0.0	0.7741474824079875
76000	-239.03750023836992	0.3714857292275353	-239.40898596759746	0.15501865189126204	0.26682841319746314	3.7903819773286496	0.22786715852613473	0.2903330769794146	0.16078743215437713	0.321012332340073	1.0	1.0	-239.40898596759746	0.0	1.5602560742740608
77000	-241.78214103689194	-2.1343276419629027	-239.64781339492905	0.21735990792289422	0.6642516688582057	3.0543575862796786	0.2940012420562752	0.22133222952265152	0.2087503278100893	0.2759162006109834	1.0	1.0	-239.64781339492905	0.0	-0.2804221639734194
78000	-242.2630902664792	-0.7115406223731622	-241.55154964410605	0.15370076750955758	0.3791023734847304	4.086362311595	0.24858436615813292	0.31113697210421504	0.23132230400348167	0.20895635773416976	1.0	1.0	-241.55154964410605	0.0	0.9214261048900303
79000	-240.15847838811598	-0.853792537677212	-239.30468585043877	0.19404069547045144	0.36909869875592666	5.107048961872052	0.19112984704392605	0.31113697210421504	0.23132230400348167	0.2664108768483766	1.0	1.0	-239.30468585043877	0.0	1.049478894445555
80000	-240.94674290368852	0.30132704698587354	-241.2480699506744	0.17295197899562878	0.19176427016696007	4.718617218462611	0.13910860928590765	0.31113697210421504	0.2619978710957046	0.2877565475141721	1.0	1.0	-241.2480699506744	0.0	1.4407708000760673
81000	-243.89388966874745	-1.7529914291641226	-242.14089823958332	0.2457069052167056	0.2125200529434897	2.814493353056038	0.31101725873641695	0.2374756402080972	0.164398011674583	0.2871090893809023	1.0	1.0	-242.14089823958332	0.0	-1.1244588707917333
82000	-241.1095089326718	-1.4248725904081314	-239.68463634226364	0.22309484069796331	0.16373176038104684	2.7781330187246103	0.16053420986955155	0.26577188310884675	0.164398011674583	0.40929589534701816	1.0	1.0	-239.68463634226364	0.0	-1.070385391743238
83000	-240.77261446451283	-0.44579309568823	-240.3268213688246	0.2067467439368698	0.501276887565784	2.0453391554685427	0.15328700416170796	0.3679622242475524	0.164398011674583	0.31435275991615613	1.0	1.0	-240.3268213688246	0.0	0.7471452470110361
84000	-237.68934465970906	1.115315286422491	-238.80465994613155	0.16436449838276776	0.29155422434318917	2.5684401687390395	0.21289651971854476	0.3083527086907156	0.164398011674583	0.31435275991615613	1.0	1.0	-238.80465994613155	0.0	1.9691956843942706
85000	-242.57457535247983	-3.5748654474788832	-238.99970990500094	0.26550388926262425	0.909269678498667	3.7557862495057432	0.21289651971854476	0.2742189822145588	0.24291517055469353	0.26996932751220243	1.0	1.0	-238.99970990500094	0.0	-1.1711524264058697
86000	-239.3418405227406	0.36880071613463494	-239.71064123887524	0.21383271039242469	0.3384849733111908	2.8788378626803777	0.1951469378749046	0.28132765658829184	0.23580649618096053	0.28771890935584254	1.0	1.0	-239.71064123887524	0.0	1.4860477482606296
87000	-239.68630857397406	-0.6104186081434181	-239.07588996583064	0.21986454383606305	0.3234142302341322	2.3104461420947247	0.2306081788929073	0.28132765658829184	0.23580649618096053	0.25225766833783986	1.0	1.0	-239.07588996583064	0.0	0.24873896098497073
88000	-238.75705498360114	0.3755097127699698	-239.1325646963711	0.16330861256142376	0.25863076293890297	3.5602728274989053	0.20332056562530984	0.25453109110889016	0.18038032136312512	0.3617680219026744	1.0	1.0	-239.1325646963711	0.0	1.4583749889732762
89000	-240.56771272341481	-1.2289362071518686	-239.33877651626295	0.25412697249707794	0.3584373331845804	4.626574014917631	0.20332056562530984	0.25453109110889016	0.22572578836619273	0.3164225548996068	1.0	1.0	-239.33877651626295	0.0	0.5094663414837076
90000	-238.44385999944063	0.32972761590343946	-238.77358761534407	0.17129172612651802	0.3757479243805905	2.295324825193593	0.1692425545349844	0.27214452118776095	0.2168035304468878	0.34180939383036635	1.0	1.0	-238.77358761534407	0.0	1.3330004088923664
